step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
95,149216,3040,0.028537847499953837,0.59375,0.59375,,,,,
96,150784,3072,0.029670675910517735,0.6875,0.6875,,,,,
97,152608,3104,0.024566432318812788,0.65625,0.65625,0.024421278148669377,0.8125,0.8125,,
98,154176,3136,0.02513118976198636,0.6875,0.6875,,,,,
99,155744,3168,0.031534405887863576,0.65625,0.65625,,,,,
100,157312,3200,0.023410867140353273,0.90625,0.90625,,,,,
101,158624,3232,0.03698327971919617,0.59375,0.59375,,,,,
102,159936,3264,0.034440162797128325,0.75,0.75,,,,,
103,161248,3296,0.036612568895076046,0.71875,0.71875,,,,,
104,162816,3328,0.027462702573236585,0.65625,0.65625,,,,,
105,164384,3360,0.025681540137225813,0.8125,0.8125,0.019003168087714357,0.90625,0.90625,,
106,165952,3392,0.02698326258899973,0.5625,0.5625,,,,,
107,167520,3424,0.03228913151421769,0.65625,0.65625,,,,,
108,169344,3456,0.019854800953210412,0.8125,0.8125,,,,,
109,170912,3488,0.027177182631867632,0.6875,0.6875,,,,,
110,172480,3520,0.027684830517268135,0.71875,0.71875,,,,,
111,174304,3552,0.019836026823658946,0.875,0.875,,,,,
112,175872,3584,0.03094542516724914,0.71875,0.71875,,,,,
113,177440,3616,0.025548948909987153,0.75,0.75,0.027837185885474208,0.71875,0.71875,,
114,179264,3648,0.023108342515327944,0.8125,0.8125,,,,,
115,180832,3680,0.029471116124986263,0.65625,0.65625,,,,,
116,182400,3712,0.0273077822891499,0.8125,0.8125,,,,,
117,184224,3744,0.023517955883596318,0.6875,0.6875,,,,,
118,185792,3776,0.026828768791714308,0.75,0.75,,,,,
119,187104,3808,0.03268659944205047,0.78125,0.78125,,,,,
120,190720,3840,0.014259676537337295,0.6875,0.6875,,,,,
121,192288,3872,0.02446416492466748,0.75,0.75,0.02404984240922431,0.8125,0.8125,,
122,193856,3904,0.025598617918132425,0.75,0.75,,,,,
123,195424,3936,0.026557808476239494,0.8125,0.8125,,,,,
124,196992,3968,0.027186537400793517,0.78125,0.78125,,,,,
125,198560,4000,0.02526935938418622,0.75,0.75,,,,,
